frame,latency_ms,vote_d,vote_psi,vote_kappa,vote_width,conf,vote_sep,vote_mag,vote_bal,left_ok,right_ok,vote_mode,solve_ms,cte_rear_m,cte_near_m,theta_deg,curvature,conf_eff,lane_width_m,flags,d_near_m,conf_raw,seq,stop_line_dist,crosswalk_dist,judgment_state,cmd_speed,cmd_steer
47,24.734020233154297,-0.10189413279294968,-0.010563022457063198,0.0,3.4800000190734863,0.5104196071624756,0.9999992847442627,0.6860224604606628,0.48805564641952515,1.0,1.0,1.0,0.7509620189666748,-0.10189413279294968,-0.11088662594556808,-0.6052166223526001,0.0,0.5104196071624756,3.4800000190734863,0.0,0.8512864112854004,0.5104196071624756,48.0,1.9485679864883423,-1.0,PASS,2.0,0.0
48,25.243759155273438,-0.08081290870904922,-0.01548682153224945,0.0,3.4800000190734863,0.5031342506408691,0.9999992251396179,0.6666397452354431,0.5094642639160156,1.0,1.0,1.0,0.7381190061569214,-0.08081290870904922,-0.09399767965078354,-0.8873295187950134,0.0,0.5031342506408691,3.4800000190734863,0.0,0.8512864112854004,0.5031342506408691,49.0,1.9781928062438965,-1.0,PASS,2.0,0.0
49,25.532245635986328,-0.08241215348243713,-0.013807377777993679,0.0,3.4800000190734863,0.5057521462440491,0.9999992251396179,0.6736721992492676,0.5014789700508118,1.0,1.0,1.0,0.7258859872817993,-0.08241215348243713,-0.09416693449020386,-0.7911044955253601,0.0,0.5057521462440491,3.4800000190734863,0.0,0.8512864112854004,0.5057521462440491,50.0,1.9783965349197388,-1.0,PASS,2.0,0.0
50,24.445533752441406,-0.10006074607372284,-0.010854137130081654,0.0,3.4800000190734863,0.5097227692604065,0.9999992847442627,0.6841903924942017,0.49000322818756104,1.0,1.0,1.0,0.7516639828681946,-0.10006074607372284,-0.10930109024047852,-0.6218962669372559,0.0,0.5097227692604065,3.4800000190734863,0.0,0.8512864112854004,0.5097227692604065,51.0,1.9781928062438965,-1.0,PASS,2.0,0.0
51,25.2840518951416,-0.10148182511329651,-0.01148387510329485,0.0,3.4800000190734863,0.5090298652648926,0.9999992847442627,0.6823647022247314,0.4919588267803192,1.0,1.0,1.0,0.7315070033073425,-0.10148182511329651,-0.11125832051038742,-0.6579775810241699,0.0,0.5090298652648926,3.4800000190734863,0.0,0.8512864112854004,0.5090298652648926,52.0,1.9783965349197388,-1.0,PASS,2.0,0.0
52,29.634952545166016,-0.1018039733171463,-0.011596166528761387,0.0,3.4800000190734863,0.5091057419776917,0.9999992847442627,0.6826104521751404,0.4916440546512604,1.0,1.0,1.0,0.7175999879837036,-0.1018039733171463,-0.11167607456445694,-0.6644114255905151,0.0,0.5091057419776917,3.4800000190734863,0.0,0.8512864112854004,0.5091057419776917,53.0,1.9781928062438965,-1.0,PASS,2.0,0.0
53,30.6394100189209,-0.10041257739067078,-0.012857942841947079,0.0,3.4800000190734863,0.5070160031318665,0.9999992251396179,0.677049994468689,0.49772167205810547,1.0,1.0,1.0,0.7801470160484314,-0.10041257739067078,-0.11135897040367126,-0.7367058396339417,0.0,0.5070160031318665,3.4800000190734863,0.0,0.8512864112854004,0.5070160031318665,54.0,1.9783965349197388,-1.0,PASS,2.0,0.0
54,32.18650817871094,-0.10090716183185577,-0.011254861019551754,0.0,3.4800000190734863,0.5096768736839294,0.9999992847442627,0.6841159462928772,0.49003130197525024,1.0,1.0,1.0,0.7547600269317627,-0.10090716183185577,-0.11048867553472519,-0.6448560357093811,0.0,0.5096768736839294,3.4800000190734863,0.0,0.8512864112854004,0.5096768736839294,55.0,1.9783965349197388,-1.0,PASS,2.0,0.0
55,33.86569023132324,-0.1001349464058876,-0.012725022621452808,0.0,3.4800000190734863,0.5085993409156799,0.9999992847442627,0.6813576221466064,0.49290043115615845,1.0,1.0,1.0,0.7650279998779297,-0.1001349464058876,-0.11096817255020142,-0.7290900945663452,0.0,0.5085993409156799,3.4800000190734863,0.0,0.8512864112854004,0.5085993409156799,56.0,1.9783965349197388,-1.0,PASS,2.0,0.0
56,33.85806083679199,-0.10034684091806412,-0.0107781533151865,0.0,3.4800000190734863,0.5099383592605591,0.9999992847442627,0.6847565174102783,0.48940110206604004,1.0,1.0,1.0,0.7438700199127197,-0.10034684091806412,-0.1095224916934967,-0.6175426840782166,0.0,0.5099383592605591,3.4800000190734863,0.0,0.8512864112854004,0.5099383592605591,57.0,1.9781928062438965,-1.0,PASS,2.0,0.0
